date,stratgy_name,profit_loss,value_at_end,CAGR,no_of_buy_trades,no_of_sell_trades,no_of_bars_in,avg_trade_return,max_drawdown,no_of_buy_orders,no_of_sell_orders,max_trade_return,roe,position_status
2020-07-08,LTF1 Points-In,1043.66,11043.66,0.5,47,47,919,22.21,234.83,99,851,471.95,10.44,Open
2020-07-08,LTF1 Simple,-1393.94,8606.06,-0.75,47,47,919,-29.66,234.83,99,851,9030,-13.94,Open
2020-07-08,LTF1 Compound,79777.99,89777.99,11.6,47,47,919,1697.4,234.83,99,851,85630.99,797.78,Open
2020-07-08,LTF2 Points-In,926.18,10926.18,0.44,16,16,685,57.89,301.85,364,685,509.3,9.26,Open
2020-07-08,LTF2 Simple,16469.56,26469.56,4.99,16,16,685,1029.35,301.85,364,685,9138.8,164.7,Open
2020-07-08,LTF2 Compound,84246.26,94246.26,11.87,16,16,685,5265.39,301.85,364,685,99085.66,842.46,Open
2020-07-08,LTF3 Points-In,379.43,10379.43,0.19,12,12,538,31.62,496.5,492,538,380.2,3.79,Open
2020-07-08,LTF3 Simple,13587.18,23587.18,4.38,12,12,538,1132.27,496.5,492,538,7396.08,135.87,Open
2020-07-08,LTF3 Compound,45133.64,55133.64,8.91,12,12,538,3761.14,496.5,492,538,59489.64,451.34,Open
2020-07-08,LTF4 Points-In,1746.52,11746.52,0.81,4,4,924,436.63,0,106,924,1083.15,17.47,Open
2020-07-08,LTF4 Simple,62470.33,72470.33,10.41,4,4,924,15617.58,0,106,924,43982.6,624.7,Open
2020-07-08,LTF4 Compound,210714.98,220714.98,16.73,4,4,924,52678.74,0,106,924,210714.98,2107.15,Open
2020-07-08,LTF5 Points-In,202.48,10202.48,0.1,50,50,697,4.05,436,347,697,542.15,2.02,Open
2020-07-08,LTF5 Simple,-7868.87,2131.13,-7.44,50,50,697,-157.38,436,347,697,5330.95,-78.69,Open
2020-07-08,LTF5 Compound,11842.8,21842.8,3.98,50,50,697,236.86,436,347,697,19097.4,118.43,Open
2020-07-08,LTF6 Points-In,1062.76,11062.76,0.51,6,6,831,177.13,396.6,200,769,692.9,10.63,Open
2020-07-08,LTF6 Simple,56490.58,66490.58,9.94,6,6,831,9415.1,396.6,200,769,51308.08,564.91,Open
2020-07-08,LTF6 Compound,136137.72,146137.72,14.35,6,6,831,22689.62,396.6,200,769,165486.72,1361.38,Open
2020-07-08,LTF7 Points-In,1238.71,11238.71,0.69,4,4,833,309.68,136,4,4,1219.2,12.39,Open
2020-07-08,LTF7 Simple,42812.38,52812.38,10.28,4,4,833,10703.1,136,4,4,27766.4,428.12,Open
2020-07-08,LTF7 Compound,92572.26,102572.26,14.68,4,4,833,23143.06,136,4,4,100596.26,925.72,Open
2020-07-08,LTF8 Points-In,888.6,10888.6,0.45,10,10,927,88.86,683.65,10,10,506.5,8.89,Open
2020-07-08,LTF8 Simple,28958.18,38958.18,7.42,10,10,927,2895.82,683.65,10,10,21511.18,289.58,Open
2020-07-08,LTF8 Compound,96417.49,106417.49,13.25,10,10,927,9641.75,683.65,10,10,143168.09,964.17,Open
2020-07-08,LTF9 Points-In,849.66,10849.66,0.45,8,8,845,106.21,323,8,8,428,8.5,Open
2020-07-08,LTF9 Simple,25584.58,35584.58,7.31,8,8,845,3198.07,323,8,8,19759.78,255.85,Open
2020-07-08,LTF9 Compound,73679.42,83679.42,12.53,8,8,845,9209.93,323,8,8,90475.42,736.79,Open
2020-07-08,LTF11 Points-In,638.18,10638.18,0.31,16,16,612,39.89,239.65,16,16,389.5,6.38,Open
2020-07-08,LTF11 Simple,9654.66,19654.66,3.44,16,16,612,603.42,239.65,16,16,7354.6,96.55,Open
2020-07-08,LTF11 Compound,50683.19,60683.19,9.43,16,16,612,3167.7,239.65,16,16,57516.99,506.83,Open
2020-07-08,BO2 Points-In,-132.09,9867.91,-0.08,22,22,279,-6,418.67,23,263,202.34,-1.32,Open
2020-07-08,BO2 Simple,-16343.77,-6343.77,nan,22,22,279,-742.9,418.67,23,263,2883.57,-163.44,Open
2020-07-08,BO2 Compound,2459.45,12459.45,1.3,22,22,279,111.79,418.67,23,263,4969.35,24.59,Open
2020-07-08,BO3 Points-In,532.97,10532.97,0.26,36,36,445,14.8,206.1,445,604,250.9,5.33,Open
2020-07-08,BO3 Simple,-18686.44,-8686.44,nan,36,36,445,-519.07,206.1,445,604,4904.84,-186.86,Open
2020-07-08,BO3 Compound,12323.54,22323.54,4.1,36,36,445,342.32,206.1,445,604,12616.69,123.24,Open
2020-07-08,BO4 Points-In,0.61,10000.61,0,32,32,374,0.02,289.5,374,643,250.9,0.01,Open
2020-07-08,BO4 Simple,-15093.91,-5093.91,nan,32,32,374,-471.68,289.5,374,643,4526.68,-150.94,Open
2020-07-08,BO4 Compound,3002.93,13002.93,1.32,32,32,374,93.84,289.5,374,643,6144.7,30.03,Open
2020-07-08,LMR5 Points-In,178.02,10178.02,0.09,5,5,27,35.6,35.62,5,10,198.4,1.78,Open
2020-07-08,LMR5 Simple,-3789,6211,-2.48,5,5,27,-757.8,35.62,5,10,530.98,-37.89,Open
2020-07-08,LMR5 Compound,627.77,10627.77,0.32,5,5,27,125.55,35.62,5,10,627.77,6.28,Open
