stratgy_name,date,value
LTF3 Simple,2000-12-04,10000
LTF3 Simple,2002-12-09,10935.199999999999
LTF3 Simple,2004-10-11,18331.28
LTF3 Simple,2005-06-06,18558.879999999997
LTF3 Simple,2006-09-18,23184.879999999997
LTF3 Simple,2010-09-13,28840.929999999997
LTF3 Simple,2012-08-20,28520.929999999997
LTF3 Simple,2013-05-06,27901.03
LTF3 Simple,2014-03-10,26326.03
LTF3 Simple,2016-07-25,28041.579999999998
LTF3 Simple,2019-04-01,30300.18
LTF3 Simple,2019-12-09,26345.18
LTF3 Points-In,2000-12-04,10000
LTF3 Points-In,2002-12-09,10005.6
LTF3 Points-In,2004-10-11,10057.465005
LTF3 Points-In,2005-06-06,10061.315015
LTF3 Points-In,2006-09-18,10139.755015
LTF3 Points-In,2010-09-13,10304.725015
LTF3 Points-In,2012-08-20,10313.925015
LTF3 Points-In,2013-05-06,10339.325015
LTF3 Points-In,2014-03-10,10207.425015
LTF3 Points-In,2016-07-25,10495.725015
LTF3 Points-In,2019-04-01,10875.925015
LTF3 Points-In,2019-12-09,10785.325015
LTF3 Compound,2000-12-04,10000
LTF3 Compound,2002-12-09,11024.800000000001
LTF3 Compound,2004-10-11,19270.795000000002
LTF3 Compound,2005-06-06,19805.345
LTF3 Compound,2006-09-18,29139.345
LTF3 Compound,2010-09-13,45966.285
LTF3 Compound,2012-08-20,46610.285
LTF3 Compound,2013-05-06,48235.485
LTF3 Compound,2014-03-10,41112.485
LTF3 Compound,2016-07-25,54661.835
LTF3 Compound,2019-04-01,69489.63500000001
LTF3 Compound,2019-12-09,66499.63500000001
LTF3 Simple,2000-12-04,10000
LTF3 Simple,2002-12-09,10935.199999999999
LTF3 Simple,2004-10-11,18331.28
LTF3 Simple,2005-06-06,18558.879999999997
LTF3 Simple,2006-09-18,23184.879999999997
LTF3 Simple,2010-09-13,28840.929999999997
LTF3 Simple,2012-08-20,28520.929999999997
LTF3 Simple,2013-05-06,27901.03
LTF3 Simple,2014-03-10,26326.03
LTF3 Simple,2016-07-25,28041.579999999998
LTF3 Simple,2019-04-01,30300.18
LTF3 Simple,2019-12-09,26345.18
